"school_code","school_name","school_address1","school_address2","school_city","school_province","school_postal_code","school_phone","school_fax","school_email","school_website","ecstaught","elementary_taught","junior_high_taught","senior_high_taught","authority_type","latitude","longitude","authority_code","authority_name","authority_address1","authority_address2","authority_city","authority_province","authority_postal_code","authority_telephone","authority_fax","authority_e_mail","authority_website","offer_school_home_education","offer_school_home_education_blended","offer_school_online","offer_school_outreach","school_updated","school_authority_code","ecs","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total","start_year","end_year","enrollment_updated"
"2045","Jean Vanier Catholic School","109 Georgian Way","","Sherwood Park","AB","T8A3K9","(780) 467-3633","(780) 467-1584","","http://jeanvanierschool.eics.ab.ca","0","0","0","0","Separate","53.536037613471","-113.2832680344","0","Elk Island Catholic Separate Regional Division No. 41","160 Festival Way","","Sherwood Park","AB","T8A5Z2","","","","http://www.eics.ab.ca","0","0","0","0","2017-03-20 22:01:16","0046","40","40","49","59","37","-18","-25","-47","-45","-58","0","0","0","32","2012","2015","2017-03-20 20:24:33"
"2046","Madonna Catholic School","15 Main Boulevard","","Sherwood Park","AB","T8A3N3","(780) 467-7972","(780) 449-1035","mcs@eics.ab.ca","http://madonna.eics.ab.ca","0","0","0","0","Separate","53.537971071273","-113.31604837302","0","Elk Island Catholic Separate Regional Division No. 41","160 Festival Way","","Sherwood Park","AB","T8A5Z2","","","","http://www.eics.ab.ca","0","0","0","0","2017-03-20 22:01:16","0046","27","23","24","28","31","-26","-21","-8","-12","-12","0","0","0","54","2012","2015","2017-03-20 20:24:33"
"2047","St. Theresa Catholic School","2021 Brentwood Boulevard","","Sherwood Park","AB","T8A0X2","(780) 464-4001","(780) 467-2046","","http://sttheresa.eics.ab.ca","0","0","0","0","Separate","53.528780187321","-113.29865902447","0","Elk Island Catholic Separate Regional Division No. 41","160 Festival Way","","Sherwood Park","AB","T8A5Z2","","","","http://www.eics.ab.ca","0","0","0","0","2017-03-20 22:01:16","0046","-33","-21","-24","-38","-17","80","121","95","99","-45","0","0","0","217","2012","2015","2017-03-20 20:24:33"
"2051","St. Luke Catholic School","22139 South Cooking Lake","","Sherwood Park","AB","T8E1G9","(780) 922-5920","(780) 922-6450","","http://stluke.eics.ab.ca","0","0","0","0","Separate","53.414502000287","-113.12797036378","0","Elk Island Catholic Separate Regional Division No. 41","160 Festival Way","","Sherwood Park","AB","T8A5Z2","","","","http://www.eics.ab.ca","0","0","0","0","2017-03-20 22:01:16","0046","-2","-3","-2","-3","-2","2","3","-8","-7","-16","0","0","0","-38","2012","2015","2017-03-20 20:24:33"
"2053","Holy Redeemer Catholic School","53117 R.R. 222","","Ardrossan","AB","T8E2M8","(780) 922-4522","(780) 922-2825","hrcs@eics.ab.ca","http://hr.eics.ab.ca","0","0","0","0","Separate","53.559398387644","-113.14671427249","0","Elk Island Catholic Separate Regional Division No. 41","160 Festival Way","","Sherwood Park","AB","T8A5Z2","","","","http://www.eics.ab.ca","0","0","0","0","2017-03-20 22:01:16","0046","-9","-4","-10","-3","-10","-2","-3","-1","-2","-9","0","0","0","-53","2012","2015","2017-03-20 20:24:33"
"2098","NorQuest College (Stony Plain)","#101, 3201 - 43 Avenue","","Stony Plain","AB","T7V1L1","(780) 968-6489","(780) 968-6493","","","0","0","0","0","Provincial","53.540141623306","-113.97550263676","0","NorQuest College","10215 - 108 Street","","Edmonton","AB","T5J1L6","(780) 644-5800","(780) 644-5819","","","0","0","0","0","2017-03-20 22:01:16","9216","0","0","0","0","0","0","0","0","0","0","-7","5","0","-2","2012","2015","2017-03-20 20:24:33"
"2204","Duffield School","P.O. Box 479","","Duffield","AB","T0E0N0","(780) 892-2644","(780) 892-3344","Duffield@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.525580150564","-114.34205024937","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","10","6","5","9","6","10","-7","-12","6","-10","0","0","0","23","2012","2015","2017-03-20 20:24:32"
"2205","Entwistle School","P.O. Box 128","","Entwistle","AB","T0E0S0","(780) 727-3811","(780) 727-2440","entwistle@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.59849658621","-114.99431997496","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","3","-3","-3","3","5","4","-2","-3","4","4","0","0","0","12","2012","2015","2017-03-20 20:24:32"
"2207","Seba Beach School","General Delivery","","Seba Beach","AB","T0E2B0","(780) 797-3733","(780) 797-3732","seba@psd70.ab.ca","http://www.psd70.ab.ca/seba","0","0","0","0","Public","53.560780549854","-114.73948814962","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","0","-10","2","-1","-3","-10","4","5","-3","-1","0","0","0","-17","2012","2015","2017-03-20 20:24:32"
"2208","Spruce Grove Composite High School","1000 Calahoo Road","","Spruce Grove","AB","T7X2T7","(780) 962-0800","(780) 962-9555","sgchs@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.556500620227","-113.90868977777","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","0","0","0","0","0","0","0","0","0","0","2","98","15","115","2012","2015","2017-03-20 20:24:32"
"2209","Memorial Composite High School","50 Westerra Centre","","Stony Plain","AB","T7Z1R3","(780) 963-2255","(780) 963-6722","mchs@psd70.ab.ca","http://www.psd70.ab.ca/mchs","0","0","0","0","Public","53.5055448","-113.9863277","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","0","0","0","0","0","0","0","0","0","0","107","26","61","194","2012","2015","2017-03-20 20:24:32"
"2210","Stony Plain Central School","5108 - 55 Avenue","","Stony Plain","AB","T7Z1R4","(780) 963-2203","(780) 963-2721","spc@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.522358926088","-114.0104989352","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","18","4","9","9","28","17","0","7","14","11","0","0","0","117","2012","2015","2017-03-20 20:24:32"
"2211","High Park School","40 Highridge Way","","Stony Plain","AB","T7Z1R6","(780) 963-2222","(780) 963-9399","highpark@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.515814","-113.987832","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","1","12","-7","8","-6","-1","-13","1","-15","7","0","0","0","-13","2012","2015","2017-03-20 20:24:32"
"2212","Wabamun School","General Delivery","","Wabamun","AB","T0E2K0","(780) 892-2271","(780) 892-4999","wabamun@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.559813205205","-114.46749727526","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","4","1","-5","7","0","5","1","-1","1","5","0","0","0","18","2012","2015","2017-03-20 20:24:32"
"2214","Tomahawk School","P.O. Box 250","","Tomahawk","AB","T0E2H0","(780) 339-3935","(780) 339-2121","tomahawk@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.395279301804","-114.77849894112","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","4","4","5","-5","-4","5","5","1","0","3","0","0","0","18","2012","2015","2017-03-20 20:24:32"
"2217","Parkland Village School","28 - 53222, R.R. 272","","Spruce Grove","AB","T7X3X6","(780) 962-8121","(780) 962-9369","parklandvillage@psd70.ab.ca","http://www.psd70.ab.ca/parklandvillage","0","0","0","0","Public","53.580680323587","-113.89080411603","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","16","5","11","20","10","0","0","0","0","0","0","0","0","62","2012","2015","2017-03-20 20:24:32"
"2219","Brookwood School","460 King Street","","Spruce Grove","AB","T7X2T6","(780) 962-3942","(780) 962-4310","brookwood@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.5503519","-113.896551","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","69","98","32","51","10","0","0","0","0","0","0","0","0","260","2012","2015","2017-03-20 20:24:32"
"2220","Ecole Meridian Heights School","4119 - 43 Street","","Stony Plain","AB","T7Z1R2","(780) 963-2289","(780) 968-2193","meridian@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.537652","-113.992297","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","9","9","18","25","6","7","-6","9","-8","-16","0","0","0","53","2012","2015","2017-03-20 20:24:32"
"2221","Woodhaven Middle School","475 King Street","","Spruce Grove","AB","T7X0A4","(780) 962-2626","(780) 962-8515","woodhaven@psd70.ab.ca","","0","0","0","0","Public","53.550668965108","-113.89992160371","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","0","0","0","0","0","36","10","17","-26","12","0","0","0","49","2012","2015","2017-03-20 20:24:32"
"2224","Millgrove School","851 Calahoo Road","","Spruce Grove","AB","T7X2M1","(780) 962-6122","(780) 962-6127","millgrove@psd70.ab.ca","http://www.psd70.ab.ca/millgrove","0","0","0","0","Public","53.552136","-113.911392","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","-102","-63","3","17","-1","0","0","0","0","0","0","0","0","-146","2012","2015","2017-03-20 20:24:32"
"2225","Forest Green School","5210 - 45 Street","","Stony Plain","AB","T7Z1R5","(780) 963-7366","(780) 963-0341","forestgreen@psd70.ab.ca","http://www.psd70.ab.ca/Schools","0","0","0","0","Public","53.526070577008","-113.99672758284","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","6","11","-2","11","8","-1","-8","0","0","0","0","0","0","25","2012","2015","2017-03-20 20:24:32"
"2226","Muir Lake School","53422 SH779","Mail Bag 500","Stony Plain","AB","T7Z1Y5","(780) 963-3535","(780) 963-3536","muirlake@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.6086226","-114.0034999","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","-6","7","1","7","8","7","-4","-8","-14","9","0","0","0","7","2012","2015","2017-03-20 20:24:32"
"2227","Blueberry School","Mail Bag 700","","Stony Plain","AB","T7Z1Y6","(780) 963-3625","(780) 963-4491","blueberry@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.542846549328","-114.14584419576","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","2","16","-5","24","-2","10","1","10","2","-2","0","0","0","56","2012","2015","2017-03-20 20:24:32"
"2228","Ecole Broxton Park School","505 McLeod Avenue","","Spruce Grove","AB","T7X2Y5","(780) 962-0212","(780) 962-0365","broxton@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.543556982558","-113.89682589895","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","105","43","13","27","21","18","10","17","23","7","0","0","0","284","2012","2015","2017-03-20 20:24:32"
"2229","Graminia School","51101 Range Road 271","","Spruce Grove","AB","T7Y1G7","(780) 963-5035","(780) 963-5069","graminia@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.382919369806","-113.85823169469","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","8","-7","-9","20","12","9","-9","5","-13","-6","0","0","0","10","2012","2015","2017-03-20 20:24:32"
"2233","Spruce Grove Composite High School Outreach","1000 Calahoo Road","","Spruce Grove","AB","T7X2T7","(780) 962-1414","(780) 962-1888","sgchs@psd70.ab.ca","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.557284522506","-113.90904382936","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","0","0","0","0","0","0","0","0","0","0","10","-29","3","-16","2012","2015","2017-03-20 20:24:32"
"2234","Memorial Composite High School Outreach","200, 71 Boulder Blvd","","Stony Plain","AB","T7Z1V6","(780) 963-0840","(780) 963-1443","mchs@psd70.ab.ca","http://www.psd70.ab.ca/mchs","0","0","0","0","Public","53.542941660336","-113.97966641964","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","0","0","0","0","0","0","0","0","0","0","-99","-77","-172","-348","2012","2015","2017-03-20 20:24:32"
"2235","Connections for Learning","4300 - 43 Street","","Stony Plain","AB","T7Z1J4","(780) 963-0507","(780) 968-1088","","http://www.psd70.ab.ca/schools","0","0","0","0","Public","53.537016","-113.993727","0","Parkland School Division No. 70","4603 - 48 Street","","Stony Plain","AB","T7Z2A8","(780) 963-4010","(780) 963-4169","","http://www.psd70.ab.ca","0","0","0","0","2017-03-20 22:01:16","2305","0","10","-1","-4","-3","7","5","5","-1","0","-5","-4","0","9","2012","2015","2017-03-20 20:24:32"
"2271","St. Joseph Catholic School","195 Weston Drive","","Spruce Grove","AB","T7X1V1","(780) 962-8788","(780) 962-5341","","http://www.sjcs.ca","0","0","0","0","Separate","53.546667","-113.919208","0","Evergreen Catholic Separate Regional Division No. 2","Suite 110, 381 Grove Drive","","Spruce Grove","AB","T7X2Y9","(780) 962-5627","(780) 962-4664","","http://www.ecsrd.ca","0","0","0","0","2017-03-20 22:01:16","0048","-2","47","-2","29","3","0","0","0","0","0","0","0","0","75","2012","2015","2017-03-20 20:24:33"
"2272","St. John Paul II Catholic School","5801 - 48 Street","","Stony Plain","AB","T7Z1R7","(780) 963-2526","(780) 963-9188","","http://www.johnpaulii.ca","0","0","0","0","Separate","53.519675","-113.999675","0","Evergreen Catholic Separate Regional Division No. 2","Suite 110, 381 Grove Drive","","Spruce Grove","AB","T7X2Y9","(780) 962-5627","(780) 962-4664","","http://www.ecsrd.ca","0","0","0","0","2017-03-20 22:01:17","0048","-7","-2","13","-5","-15","-12","5","21","11","0","0","0","0","9","2012","2015","2017-03-20 20:24:33"
"2273","St. Marguerite Catholic School","395 Grove Drive","","Spruce Grove","AB","T7X2Y7","(780) 962-8787","(780) 962-9627","","http://www.stmargcs.ca","0","0","0","0","Separate","53.556857","-113.887453","0","Evergreen Catholic Separate Regional Division No. 2","Suite 110, 381 Grove Drive","","Spruce Grove","AB","T7X2Y9","(780) 962-5627","(780) 962-4664","","http://www.ecsrd.ca","0","0","0","0","2017-03-20 22:01:17","0048","7","14","-13","18","17","0","0","0","0","0","0","0","0","43","2012","2015","2017-03-20 20:24:33"
"2274","St. Thomas Aquinas Catholic School","381 Grove Drive","","Spruce Grove","AB","T7X2Y9","(780) 962-1585","(780) 962-1588","","http://www.stacs.ca","0","0","0","0","Separate","53.556999037926","-113.88946250066","0","Evergreen Catholic Separate Regional Division No. 2","Suite 110, 381 Grove Drive","","Spruce Grove","AB","T7X2Y9","(780) 962-5627","(780) 962-4664","","http://www.ecsrd.ca","0","0","0","0","2017-03-20 22:01:17","0048","0","0","0","0","0","25","10","10","39","0","0","0","0","84","2012","2015","2017-03-20 20:24:33"
"2290","St. Matthew Lutheran Christian Academy","5014 - 53 Avenue","","Stony Plain","AB","T7Z1R8","(780) 963-2715","(780) 963-7324","info@smlacademy.ca","","0","0","0","0","Private School","53.526253400272","-114.00934358532","0","St. Matthew Evangelical Lutheran Church of Stony Plain, Alberta","5014 - 53 Avenue","","Stony Plain","AB","T7Z1R8","(780) 963-2715","(780) 963-7324","info@smlacademy.ca","http://www.smlacademy.ca","0","0","0","0","2017-03-20 22:01:17","9018","-2","7","11","3","7","3","-1","11","6","11","0","0","0","56","2012","2015","2017-03-20 20:24:33"
"2293","Parkland Immanuel Christian School","21304 - 35 Avenue N.W.","","Edmonton","AB","T6M2P6","(780) 444-6443","(780) 444-6448","infor@parklandimmanuel.ca","http://www.parklandimmanuel.ca","0","0","0","0","Private School","53.469727487377","-113.68492550066","0","Canadian Reformed School Society of Edmonton","21304 - 35 Avenue N.W.","","Edmonton","AB","T6M2P6","(780) 444-6443","(780) 444-6448","infor@parklandimmanuel.ca","","0","0","0","0","2017-03-20 22:01:17","9092","10","6","5","-2","9","5","15","12","0","8","-1","6","0","73","2012","2015","2017-03-20 20:24:33"
"2299","Living Waters Christian Academy","5 Grove Drive W.","","Spruce Grove","AB","T7X3X8","(780) 962-3331","(780) 962-3958","office@lwca.ab.ca","http://lwca.ab.ca","0","0","0","0","Private School","53.558678933016","-113.93673029529","0","Living Waters Christian Academy","5 Grove Drive W.","","Spruce Grove","AB","T7X3X8","(780) 962-3331","(780) 962-3958","office@lwca.ab.ca","http://lwca.ab.ca","0","0","0","0","2017-03-20 22:01:17","9336","-4","-1","9","-5","0","-2","9","-8","-4","-15","4","-5","0","-22","2012","2015","2017-03-20 20:24:33"
"2501","Bon Accord Community School","Box 300","","Bon Accord","AB","T0A0K0","(780) 921-3559","(780) 921-2539","baccord@sturgeon.ab.ca","http://www.bonaccordschool.ca","0","0","0","0","Public","53.833237124017","-113.42099700632","0","Sturgeon School Division No. 24","9820 - 104 Street","","Morinville","AB","T8R1L8","","","","http://www.sturgeon.ab.ca","0","0","0","0","2017-03-20 22:01:17","1110","10","-4","-12","15","0","0","0","0","0","0","0","0","0","9","2012","2015","2017-03-20 20:24:32"
"2502","Camilla School","#146, 26500 Hwy 44","","Sturgeon County","AB","T8R0J3","(780) 939-2074","(780) 939-6364","camilla@sturgeon.ab.ca","http://www.camillaschool.ca","0","0","0","0","Public","53.776196893624","-113.8423798078","0","Sturgeon School Division No. 24","9820 - 104 Street","","Morinville","AB","T8R1L8","","","","http://www.sturgeon.ab.ca","0","0","0","0","2017-03-20 22:01:17","1110","-3","31","6","9","-7","-4","4","0","10","-11","0","0","0","35","2012","2015","2017-03-20 20:24:32"
"2504","Gibbons School","Box 840","","Gibbons","AB","T0A1N0","(780) 923-2240","(780) 923-3093","gibbons@sturgeon.ab.ca","http://www.gibbonsschool.ca","0","0","0","0","Public","53.830110619739","-113.32643963862","0","Sturgeon School Division No. 24","9820 - 104 Street","","Morinville","AB","T8R1L8","","","","http://www.sturgeon.ab.ca","0","0","0","0","2017-03-20 22:01:17","1110","0","0","0","0","-1","-2","8","5","-4","-7","0","0","0","-1","2012","2015","2017-03-20 20:24:32"
"2506","Sturgeon Heights School","50 Hogan Road","","St. Albert","AB","T8N1M8","(780) 459-3990","(780) 460-2565","sheights@sturgeon.ab.ca","http://www.sturgeonheights.ca","0","0","0","0","Public","53.654454689129","-113.66541959105","0","Sturgeon School Division No. 24","9820 - 104 Street","","Morinville","AB","T8R1L8","","","","http://www.sturgeon.ab.ca","0","0","0","0","2017-03-20 22:01:17","1110","37","2","24","14","-2","9","1","4","-14","0","0","0","0","75","2012","2015","2017-03-20 20:24:32"
"2507","Namao School","#2, 24400 Hwy 37","","Sturgeon County","AB","T8T0E9","(780) 973-9191","(780) 973-2355","namao@sturgeon.ab.ca","http://www.namaoschool.ca","0","0","0","0","Public","53.716665287826","-113.49674885989","0","Sturgeon School Division No. 24","9820 - 104 Street","","Morinville","AB","T8R1L8","","","","http://www.sturgeon.ab.ca","0","0","0","0","2017-03-20 22:01:17","1110","9","-5","1","0","12","6","-11","8","-14","10","0","0","0","16","2012","2015","2017-03-20 20:24:32"
"2508","Morinville Colony School","56430 Hwy 44","","Morinville","AB","T8R1P5","(780) 939-2012","(780) 939-2035","","","0","0","0","0","Public","53.799681255756","-113.65394342939","0","Sturgeon School Division No. 24","9820 - 104 Street","","Morinville","AB","T8R1L8","","","","http://www.sturgeon.ab.ca","0","0","0","0","2017-03-20 22:01:17","1110","10","3","2","-2","0","1","5","0","2","1","0","0","0","22","2012","2015","2017-03-20 20:24:32"
"2509","Oak Hill School","Box 488","","Bon Accord","AB","T0A0K0","(780) 921-3011","(780) 921-3338","oakhill@sturgeon.ab.ca","","0","0","0","0","Public","53.834542973056","-113.41584113004","0","Sturgeon School Division No. 24","9820 - 104 Street","","Morinville","AB","T8R1L8","","","","http://www.sturgeon.ab.ca","0","0","0","0","2017-03-20 22:01:17","1110","0","0","0","0","0","1","-3","1","-6","0","1","0","0","-6","2012","2015","2017-03-20 20:24:32"
"2510","Sturgeon Composite High School","#30 - 24400 HWY 37","","Sturgeon County","AB","T8T0E9","(780) 973-3301","(780) 973-3230","schs@sturgeon.ab.ca","http://www.sturgeoncomp.ca","0","0","0","0","Public","53.717268447723","-113.48518317462","0","Sturgeon School Division No. 24","9820 - 104 Street","","Morinville","AB","T8R1L8","","","","http://www.sturgeon.ab.ca","0","0","0","0","2017-03-20 22:01:17","1110","0","0","0","0","0","0","0","0","0","0","-43","-46","4","-85","2012","2015","2017-03-20 20:24:32"
"2512","Landing Trail School","Box 1050","","Gibbons","AB","T0A1N0","(780) 923-2898","(780) 923-3007","ltrail@sturgeon.ab.ca","http://www.landingtrailschool.ca","0","0","0","0","Public","53.812440724058","-113.3343467908","0","Sturgeon School Division No. 24","9820 - 104 Street","","Morinville","AB","T8R1L8","","","","http://www.sturgeon.ab.ca","0","0","0","0","2017-03-20 22:01:17","1110","-28","-13","1","12","11","0","0","0","0","0","0","0","0","-17","2012","2015","2017-03-20 20:24:32"
"2513","Ochre Park School","Box 30","","Redwater","AB","T0A2W0","(780) 942-2902","(780) 942-2122","opark@sturgeon.ab.ca","http://www.ochreparkschool.ca","0","0","0","0","Public","53.952326454556","-113.13600243314","0","Sturgeon School Division No. 24","9820 - 104 Street","","Morinville","AB","T8R1L8","","","","http://www.sturgeon.ab.ca","0","0","0","0","2017-03-20 22:01:17","1110","-16","-11","-8","4","12","0","0","0","0","0","0","0","0","-19","2012","2015","2017-03-20 20:24:32"
"2514","Lilian Schick School","Box 689","","Bon Accord","AB","T0A0K0","(780) 921-2200","(780) 921-3113","lschick@sturgeon.ab.ca","http://www.lilianschickschool.ca","0","0","0","0","Public","53.838788679576","-113.40011466804","0","Sturgeon School Division No. 24","9820 - 104 Street","","Morinville","AB","T8R1L8","","","","http://www.sturgeon.ab.ca","0","0","0","0","2017-03-20 22:01:17","1110","0","0","0","0","0","19","-3","-1","-13","-13","0","0","0","-11","2012","2015","2017-03-20 20:24:32"
"2516","Sturgeon Learning Centre","Box 300","","Gibbons","AB","T0A1N0","(780) 923-2443","(780) 923-2446","slc@sturgeon.ab.ca","http://www.sturgeon.ab.ca/slc","0","0","0","0","Public","53.830775470327","-113.32834937144","0","Sturgeon School Division No. 24","9820 - 104 Street","","Morinville","AB","T8R1L8","","","","http://www.sturgeon.ab.ca","0","0","0","0","2017-03-20 22:01:17","1110","0","0","0","0","0","0","0","0","0","0","0","0","-2","-2","2012","2015","2017-03-20 20:24:32"
"2535","Legal School","P.O. Box 120","","Legal","AB","T0G1L0","(780) 961-3791","(780) 961-2223","","http://www.legal.gsacrd.ab.ca","0","0","0","0","Separate","53.950735992178","-113.59030126204","0","Greater St. Albert Roman Catholic Separate School District No. 734","6 St. Vital Avenue","","St. Albert","AB","T8N1K2","(780) 459-7711","(780) 458-3213","","http://www.gsacrd.ab.ca","0","0","0","0","2017-03-20 22:01:17","4077","1","-4","-1","1","-6","1","-4","3","2","1","0","0","0","-6","2012","2015","2017-03-20 20:24:33"
"2536","Ecole Citadelle","P.O. Box 28","5111 - 46 Street","Legal","AB","T0G1L0","(780) 961-3557","(780) 961-3405","cd@centrenord.ab.ca","http://www.csrcn.ab.ca/ecoles/cd/index.html","0","0","0","0","Francophone","53.950547083314","-113.5886146527","0","Greater North Central Francophone Education Region No. 2","322, 8627 - 91 Street","","Edmonton","AB","T6C3N1","","","","http://www.centrenord.ab.ca","0","0","0","0","2017-03-20 22:01:17","8040","-6","-5","7","-2","5","-9","9","-3","6","1","0","0","0","3","2012","2015","2017-03-20 20:24:33"
"2537","Ecole La Mission","46 Heritage Drive","","St. Albert","AB","T8N7J5","(780) 459-9568","(780) 459-9587","lm@centrenord.ab.ca","http://www.centrenord.ab.ca","0","0","0","0","Francophone","53.60833","-113.626131","0","Greater North Central Francophone Education Region No. 2","322, 8627 - 91 Street","","Edmonton","AB","T6C3N1","","","","http://www.centrenord.ab.ca","0","0","0","0","2017-03-20 22:01:17","8040","17","10","11","2","22","-5","4","0","0","0","0","0","0","61","2012","2015","2017-03-20 20:24:33"
"2540","Leo Nickerson Elementary","10 Sycamore Avenue","","St. Albert","AB","T8N0K3","(780) 459-4426","(780) 460-7792","kevin.jones@spschools.org","http://www.lnem.spschools.org","0","0","0","0","Public","53.629460173535","-113.60744629696","0","St. Albert Public School District No. 5565","60 Sir Winston Churchill Ave","","St. Albert","AB","T8N0G4","(780) 460-3712","(780) 460-7686","info@spschools.org","http://www.spschools.org","0","0","0","0","2017-03-20 22:01:17","7020","4","15","30","34","18","43","18","0","0","0","0","0","0","162","2012","2015","2017-03-20 20:24:32"
"2541","Paul Kane High School","12 Cunningham Road","","St. Albert","AB","T8N2E9","(780) 459-4405","(780) 459-0187","","http://www.pkhs.spschools.org","0","0","0","0","Public","53.632585847942","-113.6117512295","0","St. Albert Public School District No. 5565","60 Sir Winston Churchill Ave","","St. Albert","AB","T8N0G4","(780) 460-3712","(780) 460-7686","info@spschools.org","http://www.spschools.org","0","0","0","0","2017-03-20 22:01:17","7020","0","0","0","0","0","0","0","0","0","0","36","30","54","120","2012","2015","2017-03-20 20:24:32"
